school,conference,state,base_url,roster_url,status,notes
South Carolina State University,Mid-Eastern Athletic Conf.,SC,https://www.scsuathletics.com/index.aspx,,needs_investigation,HTTP 200 but no baseball/roster content
Southeast Missouri State University,Ohio Valley Conference,MO,https://www.semoredhawks.com,,needs_investigation,Error: Exceeded 30 redirects.
Southern Methodist University,Atlantic Coast Conference,TX,https://www.smumustangs.com,,needs_investigation,Error: Exceeded 30 redirects.
Southern Utah University,Western Athletic Conference,UT,https://www.suutbirds.com,,needs_investigation,HTTP 404
Stetson University,Atlantic Sun Conference,FL,https://www.gohatters.com,,needs_investigation,Error: Exceeded 30 redirects.
Syracuse University,Atlantic Coast Conference,NY,https://cuse.com,https://cuse.com/sports/baseball/roster,confirmed_missing,
Tennessee State University,Ohio Valley Conference,TN,https://www.tsutigers.com,,needs_investigation,HTTP 404
Tennessee Technological University,Ohio Valley Conference,TN,https://www.TTUsports.com,,needs_investigation,HTTP 404
Texas A&M University-Corpus Christi,Southland Conference,TX,https://www.goislanders.com,,needs_investigation,Error: Exceeded 30 redirects.
Texas Southern University,Southwestern Athletic Conf.,TX,https://www.tsusports.com,,needs_investigation,Error: Exceeded 30 redirects.
Texas State University,Sun Belt Conference,TX,https://txstatebobcats.com,,needs_investigation,Error: Exceeded 30 redirects.
The University of Tulsa,American Conference,OK,https://www.tulsahurricane.com,,needs_investigation,HTTP 200 but no baseball/roster content
U.S. Naval Academy,Patriot League,MD,https://www.navysports.com,,needs_investigation,Error: Exceeded 30 redirects.
"University at Buffalo, the State University of New York",Mid-American Conference,NY,https://www.ubbulls.com,https://ubbulls.com/sports/baseball/roster,confirmed_missing,
University of Arizona,Big 12 Conference,AZ,https://www.arizonawildcats.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Arkansas at Little Rock,Ohio Valley Conference,AR,https:////lrtrojans.com,,needs_investigation,Error: Invalid URL 'https:////lrtrojans.com/sports/baseball/roster': No host supplied
"University of Arkansas, Fayetteville",Southeastern Conference,AR,https://arkansasrazorbacks.com,,needs_investigation,HTTP 404
"University of California, Berkeley",Atlantic Coast Conference,CA,https://www.calbears.com,,needs_investigation,Error: Exceeded 30 redirects.
"University of California, Irvine",Big West Conference,CA,https://ucirvinesports.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Colorado Boulder,Big 12 Conference,CO,https://www.cubuffs.com,,needs_investigation,HTTP 200 but no baseball/roster content
University of Dayton,Atlantic 10 Conference,OH,https://www.daytonflyers.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Denver,The Summit League,CO,https://denverpioneers.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Detroit Mercy,Horizon League,MI,https://www.detroittitans.com,,needs_investigation,HTTP 404
"University of Hawaii, Manoa",Big West Conference,HI,https://hawaiiathletics.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Idaho,Big Sky Conference,ID,https://www.govandals.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Illinois Chicago,Missouri Valley Conference,IL,https://www.uicflames.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Illinois Urbana-Champaign,Big Ten Conference,IL,https://www.fightingillini.com,,needs_investigation,Error: Exceeded 30 redirects.
"University of Maryland, College Park",Big Ten Conference,MD,https://www.umterps.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Missouri-Kansas City,The Summit League,MO,https://www.kcroos.com,,needs_investigation,HTTP 200 but no baseball/roster content
University of Montana,Big Sky Conference,MT,https://www.gogriz.com,,needs_investigation,HTTP 200 but no baseball/roster content
University of Nebraska at Omaha,The Summit League,NE,https://www.omavs.com,,needs_investigation,Error: Exceeded 30 redirects.
"University of Nevada, Las Vegas",Mountain West Conference,NV,https://unlvrebels.com,,needs_investigation,Error: Exceeded 30 redirects.
"University of Nevada, Reno",Mountain West Conference,NV,https://nevadawolfpack.com,,needs_investigation,Error: Exceeded 30 redirects.
University of New Hampshire,America East Conference,NH,https://www.unhwildcats.com,,needs_investigation,HTTP 200 but no baseball/roster content
University of North Carolina Wilmington,Coastal Athletic Association,NC,https://www.uncwsports.com,,needs_investigation,Error: Exceeded 30 redirects.
University of North Dakota,The Summit League,ND,https://www.fightinghawks.com,,needs_investigation,Error: Exceeded 30 redirects.
University of North Texas,American Conference,TX,https://www.meangreensports.com,,needs_investigation,HTTP 200 but no baseball/roster content
University of Northern Iowa,Missouri Valley Conference,IA,https://unipanthers.com,,needs_investigation,HTTP 200 but no baseball/roster content
University of San Diego,West Coast Conference,CA,https://www.usdtoreros.com,,needs_investigation,Error: Exceeded 30 redirects.
University of San Francisco,West Coast Conference,CA,https://usfdons.com/index.aspx,,needs_investigation,Error: Exceeded 30 redirects.
University of South Dakota,The Summit League,SD,https://www.goyotes.com,,needs_investigation,HTTP 404
University of South Florida,American Conference,FL,https://www.gousfbulls.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Tennessee at Chattanooga,Southern Conference,TN,https://www.gomocs.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Texas at El Paso,Conference USA,TX,https://www.utepminers.com,,needs_investigation,HTTP 404
University of Vermont,America East Conference,VT,https://www.uvmathletics.com,,needs_investigation,Error: Exceeded 30 redirects.
University of Wisconsin-Green Bay,Horizon League,WI,https://greenbayphoenix.com,,needs_investigation,HTTP 404
University of Wisconsin-Madison,Big Ten Conference,WI,https://www.uwbadgers.com,,needs_investigation,HTTP 200 but no baseball/roster content
University of Wyoming,Mountain West Conference,WY,https://www.gowyo.com,,needs_investigation,Error: Exceeded 30 redirects.
Utah State University,Mountain West Conference,UT,https://www.utahstateaggies.com,,needs_investigation,Error: Exceeded 30 redirects.
Villanova University,BIG EAST Conference,PA,https://www.villanova.com,,needs_investigation,Error: Exceeded 30 redirects.
Virginia Commonwealth University,Atlantic 10 Conference,VA,https://www.vcuathletics.com,,needs_investigation,Error: Exceeded 30 redirects.
Weber State University,Big Sky Conference,UT,https://www.weberstatesports.com,,needs_investigation,HTTP 200 but no baseball/roster content
Western Michigan University,Mid-American Conference,MI,https://www.wmubroncos.com,,needs_investigation,Error: Exceeded 30 redirects.
Wichita State University,American Conference,KS,https://www.goshockers.com,,needs_investigation,Error: Exceeded 30 redirects.
Wofford College,Southern Conference,SC,https://www.wofford.edu/athletics,,needs_investigation,Error: Exceeded 30 redirects.
Yale University,The Ivy League,CT,https://www.yalebulldogs.com,,needs_investigation,Error: Exceeded 30 redirects.
